PLAYER_ID,GAME_ID,GAME_DATE,PLAYER_NAME,TEAM_ABBREVIATION,MATCHUP,WL,MIN,PTS,AST,REB,STL,BLK,OREB,DREB,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA
1642964,22500001,2025-10-21,Brooks Barnhizer,OKC,OKC vs. HOU,W,2,0,0,0,0,0,0,0,,0,0,,0,0
1642959,22500001,2025-10-21,Chris Youngblood,OKC,OKC vs. HOU,W,0,0,0,0,0,0,0,0,,0,0,,0,0
1641717,22500001,2025-10-21,Cason Wallace,OKC,OKC vs. HOU,W,42,14,5,7,4,0,1,6,0.5,3,8,0.375,1,2
1631119,22500001,2025-10-21,Jaylin Williams,OKC,OKC vs. HOU,W,13,2,1,0,1,0,0,0,0.2,0,4,0.0,0,0
1631096,22500001,2025-10-21,Chet Holmgren,OKC,OKC vs. HOU,W,38,28,2,7,0,0,2,5,0.647,2,5,0.4,4,4
1630598,22500001,2025-10-21,Aaron Wiggins,OKC,OKC vs. HOU,W,21,10,1,1,0,0,0,1,0.5,2,5,0.4,0,0
1629652,22500001,2025-10-21,Luguentz Dort,OKC,OKC vs. HOU,W,45,6,5,6,1,0,2,4,0.167,0,8,0.0,2,2
1628983,22500001,2025-10-21,Shai Gilgeous-Alexander,OKC,OKC vs. HOU,W,47,35,5,5,2,2,0,5,0.462,1,9,0.111,10,14
1627936,22500001,2025-10-21,Alex Caruso,OKC,OKC vs. HOU,W,30,8,3,2,2,1,0,2,0.333,2,6,0.333,0,0
1642263,22500001,2025-10-21,Reed Sheppard,HOU,HOU @ OKC,L,28,9,4,2,1,1,1,1,0.273,2,7,0.286,1,2
1641708,22500001,2025-10-21,Amen Thompson,HOU,HOU @ OKC,L,39,18,5,4,1,1,2,2,0.471,0,7,0.0,2,2
1631095,22500001,2025-10-21,Jabari Smith Jr.,HOU,HOU @ OKC,L,42,16,0,5,1,0,3,2,0.467,2,6,0.333,0,0
1630578,22500001,2025-10-21,Alperen Sengun,HOU,HOU @ OKC,L,49,39,7,11,2,1,4,7,0.5,5,8,0.625,10,11
1629006,22500001,2025-10-21,Josh Okogie,HOU,HOU @ OKC,L,20,8,1,2,0,1,1,1,0.333,1,3,0.333,5,6
203991,22500001,2025-10-21,Clint Capela,HOU,HOU @ OKC,L,8,4,0,0,1,0,0,0,1.0,0,0,,2,2
203500,22500001,2025-10-21,Steven Adams,HOU,HOU @ OKC,L,37,4,3,13,0,0,5,8,0.25,0,0,,2,2
201142,22500001,2025-10-21,Kevin Durant,HOU,HOU @ OKC,L,47,23,3,9,0,0,0,9,0.563,0,4,0.0,5,6
1631222,22500002,2025-10-21,Jake LaRavia,LAL,LAL vs. GSW,L,16,5,0,3,0,0,2,1,0.5,1,2,0.5,0,2
1627741,22500002,2025-10-21,Buddy Hield,GSW,GSW @ LAL,W,22,17,0,1,1,0,0,1,0.545,5,10,0.5,0,0
1629637,22500002,2025-10-21,Jaxson Hayes,LAL,LAL vs. GSW,L,14,4,1,6,0,0,2,4,0.667,0,0,,0,0
202710,22500002,2025-10-21,Jimmy Butler III,GSW,GSW @ LAL,W,35,31,4,5,1,0,2,3,0.5,1,2,0.5,16,16
203110,22500002,2025-10-21,Draymond Green,GSW,GSW @ LAL,W,28,8,9,7,1,2,1,6,0.5,1,3,0.333,1,3
1629216,22500002,2025-10-21,Gabe Vincent,LAL,LAL vs. GSW,L,29,3,1,0,1,0,0,0,0.25,1,4,0.25,0,0
